"name","authors","year","base","booktitle","doi"
"First Results with HIJING++ in High-Energy Heavy-Ion Collisions","Gergely Gábor Barnaföldi and Gábor Bíró and Miklos Gyulassy and Szilveszter Miklós Haranozó and Péter Lévai and Guoyang Ma and Gábor Papp and Xin-Nian Wang and Ben-Wei Zhang",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.nuclphysbps.2017.05.086"
"DNAD, a simple tool for automatic differentiation of Fortran codes using dual numbers","Wenbin Yu and Maxwell Blair",2013,"[""Science Direct""]",,"https://doi.org/10.1016/j.cpc.2012.12.025"
"Psychometric properties of the Motivational Interviewing Treatment Integrity coding system 4.2 with jail inmates","Mandy D. Owens and Lauren N. Rowell and Theresa Moyers",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.addbeh.2017.04.015"
"The MESSAGEix Integrated Assessment Model and the ix modeling platform (ixmp): An open framework for integrated and cross-cutting analysis of energy, climate, the environment, and sustainable development","Daniel Huppmann and Matthew Gidden and Oliver Fricko and Peter Kolp and Clara Orthofer and Michael Pimmer and Nikolay Kushin and Adriano Vinca and Alessio Mastrucci and Keywan Riahi and Volker Krey",2019,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.envsoft.2018.11.012"
"Version 4.0 of code Java for 3D simulation of the CCA model","Linyu Fan and Jianwei Liao and Junsen Zuo and Kebo Zhang and Chao Li and Hailing Xiong",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.cpc.2018.03.014"
"Deconstructing the symbol digit modalities test in multiple sclerosis: The role of memory","Viral P. Patel and Lisa A.S. Walker and Anthony Feinstein",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.msard.2017.08.006"
"Infographic restitution of the historic centre of the Spanish town of Oviedo","Marta Alonso-Rodriguez and Antonio Alvaro-Tordesillas and Eduardo Carazo-Lefort",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.compenvurbsys.2017.01.009"
"A coding tool for examining the substance of teacher professional learning and change with example cases from middle school science lesson study","Christine Lee Bae and Kathryn N. Hayes and Jeffery Seitz and Dawn O'Connor and Rachelle DiStefano",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.tate.2016.08.016"
"A modular foreign function interface","Jeremy Yallop and David Sheets and Anil Madhavapeddy",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.scico.2017.04.002"
"Multiple feature fusion for unconstrained palm print authentication","Gaurav Jaswal and Amit Kaul and Ravinder Nath",2018,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.compeleceng.2018.09.006"
"TFmix: A high-precision implementation of the finite-temperature Thomas–Fermi model for a mixture of atoms","O.P. Shemyakin and P.R. Levashov and P.A. Krasnova",2019,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.cpc.2018.09.008"
"Do android developers neglect error handling? a maintenance-Centric study on the relationship between android abstractions and uncaught exceptions","Juliana Oliveira and Deise Borges and Thaisa Silva and Nelio Cacho and Fernando Castor",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.jss.2017.10.032"
"Self-learning-based post-processing for image/video deblocking via sparse representation","Chia-Hung Yeh and Li-Wei Kang and Yi-Wen Chiou and Chia-Wen Lin and Shu-Jhen Fan Jiang",2014,"[""Science Direct""]",,"https://doi.org/10.1016/j.jvcir.2014.02.012"
"Linear and kernel methods for multivariate change detection","Morton J. Canty and Allan A. Nielsen",2012,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.cageo.2011.05.012"
"Auditory predictions shape the neural responses to stimulus repetition and sensory change","Raffaele Cacciaglia and Jordi Costa-Faidella and Katarzyna Zarnowiec and Sabine Grimm and Carles Escera",2019,"[""Science Direct""]",,"https://doi.org/10.1016/j.neuroimage.2018.11.007"
"A new Fortran 90 program to compute regular and irregular associated Legendre functions (new version announcement)","Barry I. Schneider and Javier Segura and Amparo Gil and Xiaoxu Guan and Klaus Bartschat",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.cpc.2017.12.013"
"Extensions to hybrid code networks for FAIR dialog dataset","Jiyeon Ham and Soohyun Lim and Kyeng-Hun Lee and Kee-Eung Kim",2019,"[""Science Direct""]",,"https://doi.org/10.1016/j.csl.2018.07.004"
"An aggregated coupling measure for the analysis of object-oriented software systems","Istvan Gergely Czibula and Gabriela Czibula and Diana-Lucia Miholca and Zsuzsanna Onet-Marian",2019,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.jss.2018.10.052"
"Securing templates in a face recognition system using Error-Correcting Output Code and chaos theory","Sara Nazari and Mohammad-Shahram Moin and Hamidreza Rashidy Kanan",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.compeleceng.2018.01.029"
"Quantitative structural determination of active sites from in situ and operando XANES spectra: From standard ab initio simulations to chemometric and machine learning approaches","Alexander A. Guda and Sergey A. Guda and Kirill A. Lomachenko and Mikhail A. Soldatov and Ilia A. Pankin and Alexander V. Soldatov and Luca Braglia and Aram L. Bugaev and Andrea Martini and Matteo Signorile and Elena Groppo and Alessandro Piovano and Elisa Borfecchia and Carlo Lamberti",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.cattod.2018.10.071"
"PLUMED 2: New feathers for an old bird","Gareth A. Tribello and Massimiliano Bonomi and Davide Branduardi and Carlo Camilloni and Giovanni Bussi",2014,"[""Science Direct""]",,"https://doi.org/10.1016/j.cpc.2013.09.018"
"A revised dosimetric characterization of 60Co BEBIG source: From single-source data to clinical dose distribution","Sara Abdollahi and Mahdieh Dayyani and Elie Hoseinian-Azghadi and Hashem Miri-Hakimabad and Laleh Rafat-Motavalli",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.brachy.2018.08.011"
"PArthENoPE reloaded","R. Consiglio and P.F. de Salas and G. Mangano and G. Miele and S. Pastor and O. Pisanti",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.cpc.2018.06.022"
"TouchTerrain: A simple web-tool for creating 3D-printable topographic models","Franciszek J. Hasiuk and Chris Harding and Alex Raymond Renner and Eliot Winer",2017,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.cageo.2017.07.005"
"Deep Learning-based Multimodal Control Interface for Human-Robot Collaboration","Hongyi Liu and Tongtong Fang and Tianyu Zhou and Yuquan Wang and Lihui Wang",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.procir.2018.03.224"
"Answering software evolution questions: An empirical evaluation","Lile Hattori and Marco D’Ambros and Michele Lanza and Mircea Lungu",2013,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.infsof.2012.09.001"
"Software bug prediction using weighted majority voting techniques","Sammar Moustafa and Mustafa Y. ElNainay and Nagwa El Makky and Mohamed S. Abougabal",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.aej.2018.01.003"
"Medial Prefrontal Cortex Reduces Memory Interference by Modifying Hippocampal Encoding","Kevin G. Guise and Matthew L. Shapiro",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.neuron.2017.03.011"
"Numerical simulation of buffeting longitudinal wind forces on buildings","Mohamed M. El-Heweity and Mohamed H. Abdelnaby and Elsayed M. Eshra",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.aej.2018.08.001"
"Teaching concurrent and parallel programming by patterns: An interactive ICT approach","Manuel I. Capel and Antonio J. Tomeu and Alberto G. Salguero",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.jpdc.2017.01.010"
"Version 3.0 of code Java for 3D simulation of the CCA model","Kebo Zhang and Junsen Zuo and Yifeng Dou and Chao Li and Hailing Xiong",2016,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.cpc.2016.05.031"
"Socioemotional wealth in family firms: A longitudinal content analysis of corporate disclosures","Peter Cleary and Martin Quinn and Alonso Moreno",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.jfbs.2018.11.002"
"Consistent merging of model versions","Hoa Khanh Dam and Alexander Egyed and Michael Winikoff and Alexander Reder and Roberto E. Lopez-Herrejon",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.jss.2015.06.044"
"Just in time? Using QR codes for multi-professional learning in clinical practice","Joseph Tawanda Jamu and Hannah Lowi-Jones and Colin Mitchell",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.nepr.2016.03.007"
"Present status of theoretical understanding of charge changing processes at low beam energies","D.K. Swami and T. Nandi",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.radphyschem.2018.08.034"
"Cognitive complexity as a quantifier of version to version Java-based source code change: An empirical probe","Loveleen Kaur and Ashutosh Mishra",2019,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.infsof.2018.09.002"
"Bayesian denoising hashing for robust image retrieval","Dong Wang and Ge Song and Xiaoyang Tan",2019,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.patcog.2018.09.006"
"Detection of seagrass scars using sparse coding and morphological filter","E. Oguslu and Kazi Islam and Daniel Perez and V.J. Hill and W.P. Bissett and R.C. Zimmerman and J. Li",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.rse.2018.05.009"
"Balancing the Robustness and Efficiency of Odor Representations during Learning","Monica W. Chu and Wankun L. Li and Takaki Komiyama",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.neuron.2016.09.004"
"How are e-leadership practices in implementing a school virtual learning environment enhanced? A grounded model study","Yan Piaw Chua and Yee Pei Chua",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.compedu.2017.02.012"
"A meta-model for dataflow-based rules in smart environments: Evaluating user comprehension and performance","Alejandro Catala and Patricia Pons and Javier Jaen and Jose A. Mocholi and Elena Navarro",2013,"[""Science Direct""]",,"https://doi.org/10.1016/j.scico.2012.06.010"
"TORBEAM 2.0, a paraxial beam tracing code for electron-cyclotron beams in fusion plasmas for extended physics applications","E. Poli and A. Bock and M. Lochbrunner and O. Maj and M. Reich and A. Snicker and A. Stegmeir and F. Volpe and N. Bertelli and R. Bilato and G.D. Conway and D. Farina and F. Felici and L. Figini and R. Fischer and C. Galperti and T. Happel and Y.R. Lin-Liu and N.B. Marushchenko and U. Mszanowski and F.M. Poli and J. Stober and E. Westerhof and R. Zille and A.G. Peeters and G.V. Pereverzev",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.cpc.2017.12.018"
"A fast code for channel limb radiances with gas absorption and scattering in a spherical atmosphere","Janusz Eluszkiewicz and Gennady Uymin and David Flittner and Karen Cady-Pereira and Eli Mlawer and John Henderson and Jean-Luc Moncet and Thomas Nehrkorn and Michael Wolff",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.jqsrt.2017.02.010"
"Reflection on Teaching: A Way to Learn from Practice","Anu Sööt and Ele Viskus",2015,"[""Science Direct""]",,"https://doi.org/10.1016/j.sbspro.2015.04.591"
"Local electron tomography using angular variations of surface tangents: Stomo version 2","T.C. Petersen and S.P. Ringer",2012,"[""Science Direct""]",,"https://doi.org/10.1016/j.cpc.2011.11.008"
"Gradient-enhanced model and its micromorphic regularization for simulation of Lüders-like bands in shape memory alloys","Mohsen Rezaee Hajidehi and Stanisław Stupkiewicz",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.ijsolstr.2017.11.021"
"A novel prediction method for down-hole working conditions of the beam pumping unit based on 8-directions chain codes and online sequential extreme learning machine","Kun Li and Ying Han and Tong Wang",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.petrol.2017.10.052"
"A neural mechanism of dynamic gating of task-relevant information by top-down influence in primary visual cortex","Akikazu Kamiyama and Kazuhisa Fujita and Yoshiki Kashimori",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.biosystems.2016.09.009"
"Improving multi-objective code-smells correction using development history","Ali Ouni and Marouane Kessentini and Houari Sahraoui and Katsuro Inoue and Mohamed Salah Hamdi",2015,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.jss.2015.03.040"
"Initial Uncertainty Impacts Statistical Learning in Sound Sequence Processing","Juanita Todd and Alexander Provost and Lisa Whitson and Daniel Mullens",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.neuroscience.2018.05.011"
"Analyzing software evolution and quality by extracting Asynchrony change patterns","Fehmi Jaafar and Angela Lozano and Yann-Gaël Guéhéneuc and Kim Mens",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.jss.2017.05.047"
"Semi-supervised subspace learning with L2graph","Xi Peng and Miaolong Yuan and Zhiding Yu and Wei Yun Yau and Lei Zhang",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.neucom.2015.11.112"
"Modeling polyp activity of Paragorgia arborea using supervised learning","Arne N. Johanson and Sascha Flögel and Wolf-Christian Dullo and Peter Linke and Wilhelm Hasselbring",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.ecoinf.2017.02.007"
"Case-Based Learning Facilitates Critical Thinking in Undergraduate Nutrition Education: Students Describe the Big Picture","Tara Harman and Brenda Bertrand and Annette Greer and Arianna Pettus and Jill Jennings and Elizabeth Wall-Bassett and Oyinlola Toyin Babatunde",2015,"[""Science Direct""]",,"https://doi.org/10.1016/j.jand.2014.09.003"
"SIGNUM: A Matlab, TIN-based landscape evolution model","A. Refice and E. Giachetta and D. Capolongo",2012,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.cageo.2011.11.013"
"Associative Learning Enhances Population Coding by Inverting Interneuronal Correlation Patterns","James M. Jeanne and Tatyana O. Sharpee and Timothy Q. Gentner",2013,"[""Science Direct""]",,"https://doi.org/10.1016/j.neuron.2013.02.023"
"Detecting broken pointcuts using structural commonality and degree of interest","Raffi Khatchadourian and Awais Rashid and Hidehiko Masuhara and Takuya Watanabe",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.scico.2017.06.011"
"Trimming and gluing Gray codes","Petr Gregor and Torsten Mütze",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.tcs.2017.12.003"
"Changes in interlimb coordination during walking and grasping task in older adult fallers and non-fallers","Natalia Madalena Rinaldi and Richard van Emmerik and Renato Moraes",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.humov.2017.08.002"
"Evaluating Surgical Coaching: A Mixed Methods Approach Reveals More Than Surveys Alone","Laura M. Mazer and Yue-Yung Hu and Alexander F. Arriaga and Caprice C. Greenberg and Stuart R. Lipsitz and Atul A. Gawande and Douglas S. Smink and Steven J. Yule",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.jsurg.2018.03.009"
"Extending Paralldroid with object oriented annotations","Alejandro Acosta and Sergio Afonso and Francisco Almeida",2016,"[""Science Direct""]",,"https://doi.org/10.1016/j.parco.2016.04.003"
"Spectral history model in DYN3D: Verification against coupled Monte-Carlo thermal-hydraulic code BGCore","Y. Bilodid and D. Kotlyar and M. Margulis and E. Fridman and E. Shwageraus",2015,"[""Science Direct"",""Engineering Village""]",,"https://doi.org/10.1016/j.anucene.2015.03.030"
"Does a Written Tool to Guide Structured Debriefing Improve Discourse? Implications for Interprofessional Team Simulation","Ryan Thompson and Sarah Sullivan and Krystle Campbell and Ingie Osman and Brianna Statz and Hee Soo Jung",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.jsurg.2018.07.001"
"Using simulation with interprofessional team training to improve RRT/code performance","Patricia Dillon and Helene Moriarty and Gregg Lipschik",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.xjep.2018.01.002"
"Maximal granularity structure and generalized multi-view discriminant analysis for person re-identification","Cairong Zhao and Xuekuan Wang and Duoqian Miao and Hanli Wang and Weishi Zheng and Yong Xu and David Zhang",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.patcog.2018.01.033"
"Temporal ordering of substitutions in RNA evolution: Uncovering the structural evolution of the Human Accelerated Region 1","Maria Beatriz Walter Costa and Christian Höner zu Siederdissen and Dan Tulpan and Peter F. Stadler and Katja Nowick",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.jtbi.2017.11.015"
"Dedicated Educational Nursing Unit: Clinical Instructors Role Perceptions and Learning Needs","Donna M. Glynn and Cecilia McVey and Judith Wendt and Bonnie Russell",2017,"[""Science Direct""]",,"https://doi.org/10.1016/j.profnurs.2016.08.005"
"Validation of the MCU-PTR computational model of beryllium poisoning using selected experiments at the IRT-T research reactor","M.V. Shchurovskaya and V.P. Alferov and N.I. Geraskin and A.I. Radaev and A.G. Naymushin and Yu.B. Chertkov and M.N. Anikin and I.I. Lebedev",2018,"[""Science Direct""]",,"https://doi.org/10.1016/j.anucene.2017.11.046"
