"name","authors","year","base","booktitle","doi"
"Versioning for End-to-End Machine Learning Pipelines","van der Weide, Tom and Papadopoulos, Dimitris and Smirnov, Oleg and Zielinski, Michal and van Kasteren, Tim",2017,"[""ACM"",""Engineering Village""]","Proceedings of the 1st Workshop on Data Management for End-to-End Machine Learning","10.1145/3076246.3076248"
"Learning Natural Coding Conventions","Allamanis, Miltiadis and Barr, Earl T. and Bird, Christian and Sutton, Charles",2014,"[""ACM""]","Proceedings of the 22Nd ACM SIGSOFT International Symposium on Foundations of Software Engineering","10.1145/2635868.2635883"
"Program Generation for Performance","P\""{u}schel, Markus",2016,"[""ACM""]","Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering","10.1145/2970276.2985778"
"Review Code Evolution History in OSS Universe","Zhu, Jiaxin and Lin, Hongwu and Zhou, Minghui and Mei, Hong",2012,"[""ACM"",""Engineering Village""]","Proceedings of the Fourth Asia-Pacific Symposium on Internetware","10.1145/2430475.2430488"
"Post Release Versions Based Code Change Quality Metrics","Sharma, Meera and Kumari, Madhu and Singh, V. B.",2015,"[""ACM"",""Engineering Village""]","Proceedings of the Third International Symposium on Women in Computing and Informatics","10.1145/2791405.2791466"
"Mining API Expertise Profiles with Partial Program Analysis","Mani, Senthil and Padhye, Rohan and Sinha, Vibha Singhal",2016,"[""ACM"",""Engineering Village""]","Proceedings of the 9th India Software Engineering Conference","10.1145/2856636.2856646"
"Hydra: Automatic Algorithm Exploration from Linear Algebra Equations","Padua, David and Barthou, Denis and Duchateau, Alexandre X.",2013,"[""ACM""]","Proceedings of the 2013 IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","10.1109/CGO.2013.6494999"
"Risky Files: An Approach to Focus Quality Improvement Effort","Mockus, Audris and Hackbarth, Randy and Palframan, John",2013,"[""ACM""]","Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering","10.1145/2491411.2494572"
"The Effect of IMPORT Change in Software Change History","Kim, Jungil and Lee, Eunjoo",2014,"[""ACM"",""Engineering Village""]","Proceedings of the 29th Annual ACM Symposium on Applied Computing","10.1145/2554850.2559925"
"A Case Study of Cross-system Porting in Forked Projects","Ray, Baishakhi and Kim, Miryung",2012,"[""ACM""]","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","10.1145/2393596.2393659"
"How Do Centralized and Distributed Version Control Systems Impact Software Changes?","Brindescu, Caius and Codoban, Mihai and Shmarkatiuk, Sergii and Dig, Danny",2014,"[""ACM"",""Engineering Village""]","Proceedings of the 36th International Conference on Software Engineering","10.1145/2568225.2568322"
"Extracting Facts from Performance Tuning History of Scientific Applications for Predicting Effective Optimization Patterns","Hashimoto, Masatomo and Terai, Masaaki and Maeda, Toshiyuki and Minami, Kazuo",2015,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 12th Working Conference on Mining Software Repositories",
"Learning Syntactic Program Transformations from Examples","Rolim, Reudismam and Soares, Gustavo and D'Antoni, Loris and Polozov, Oleksandr and Gulwani, Sumit and Gheyi, Rohit and Suzuki, Ryo and Hartmann, Bj\""{o}rn",2017,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 39th International Conference on Software Engineering","10.1109/ICSE.2017.44"
"DT: An Upgraded Detection Tool to Automatically Detect Two Kinds of Code Smell: Duplicated Code and Feature Envy","Liu, Xinghua and Zhang, Cheng",2018,"[""ACM""]","Proceedings of the International Conference on Geoinformatics and Data Analysis","10.1145/3220228.3220245"
"Automated Analysis of Student Programmer Coding Behavior Patterns (Abstract Only)","Ford, Corey and Staley, Clinton",2016,"[""ACM""]","Proceedings of the 47th ACM Technical Symposium on Computing Science Education","10.1145/2839509.2850540"
"DSL-based Support for Semi-automated Architectural Component Model Abstraction Throughout the Software Lifecycle","Haitzer, Thomas and Zdun, Uwe",2012,"[""ACM""]","Proceedings of the 8th International ACM SIGSOFT Conference on Quality of Software Architectures","10.1145/2304696.2304709"
"Using Computational Methods to Discover Student Science Conceptions in Interview Data","Sherin, Bruce",2012,"[""ACM""]","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","10.1145/2330601.2330649"
"Classifying Code Comments in Java Mobile Applications","Pascarella, Luca",2018,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 5th International Conference on Mobile Software Engineering and Systems","10.1145/3197231.3198444"
"Free Rider: A Source-Level Transformation Tool for Retargeting Platform-Specific Intrinsic Functions","Manilov, Stanislav and Franke, Bj\""{o}rn and Magrath, Anthony and Andrieu, Cedric",2016,"[""ACM""]",,"10.1145/2990194"
"Interactive Churn Metrics: Socio-technical Variants of Code Churn","Meneely, Andrew and Williams, Oluyinka",2012,"[""ACM""]",,"10.1145/2382756.2382785"
"CIAhelper: Towards Change Impact Analysis in Delta-oriented Software Product Lines","Hamza, Mostafa and Walker, Robert J. and Elaasar, Maged",2018,"[""ACM""]","Proceedings of the 22Nd International Systems and Software Product Line Conference - Volume 1","10.1145/3233027.3233036"
"A Study of Repetitiveness of Code Changes in Software Evolution","Nguyen, Hoan Anh and Nguyen, Anh Tuan and Nguyen, Tung Thanh and Nguyen, Tien N. and Rajan, Hridesh",2013,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering","10.1109/ASE.2013.6693078"
"Using Graph-based Program Characterization for Predictive Modeling","Park, Eunjung and Cavazos, John and Alvarez, Marco A.",2012,"[""ACM"",""Engineering Village""]","Proceedings of the Tenth International Symposium on Code Generation and Optimization","10.1145/2259016.2259042"
"Perspectives on Task Ownership in Mobile Operating System Development (Invited Talk)","Datta, Subhajit",2014,"[""ACM""]","Proceedings of the 2Nd International Workshop on Software Development Lifecycle for Mobile","10.1145/2661694.2661702"
"FLUCCS: Using Code and Change Metrics to Improve Fault Localization","Sohn, Jeongju and Yoo, Shin",2017,"[""ACM""]","Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis","10.1145/3092703.3092717"
"CoExist: Overcoming Aversion to Change","Steinert, Bastian and Cassou, Damien and Hirschfeld, Robert",2012,"[""ACM""]",,"10.1145/2480360.2384591"
"CoExist: Overcoming Aversion to Change","Steinert, Bastian and Cassou, Damien and Hirschfeld, Robert",2012,"[""ACM""]","Proceedings of the 8th Symposium on Dynamic Languages","10.1145/2384577.2384591"
"An Industrial Study on the Risk of Software Changes","Shihab, Emad and Hassan, Ahmed E. and Adams, Bram and Jiang, Zhen Ming",2012,"[""ACM"",""Engineering Village""]","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","10.1145/2393596.2393670"
"Mining Version Control System for Automatically Generating Commit Comment","Huang, Yuan and Zheng, Qiaoyang and Chen, Xiangping and Xiong, Yingfei and Liu, Zhiyong and Luo, Xiaonan",2017,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 11th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","10.1109/ESEM.2017.56"
"Traceability in the Wild: Automatically Augmenting Incomplete Trace Links","Rath, Michael and Rendall, Jacob and Guo, Jin L. C. and Cleland-Huang, Jane and M\""{a}der, Patrick",2018,"[""ACM""]","Proceedings of the 40th International Conference on Software Engineering","10.1145/3180155.3180207"
"A Case Study on the Relationship Between Code Ownership and Refactoring Activities in a Java Software System","Orr\'{u}, Matteo and Marchesi, Michele",2016,"[""ACM""]","Proceedings of the 7th International Workshop on Emerging Trends in Software Metrics","10.1145/2897695.2897702"
"Integrated Impact Analysis for Managing Software Changes","Gethers, Malcom and Dit, Bogdan and Kagdi, Huzefa and Poshyvanyk, Denys",2012,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 34th International Conference on Software Engineering",
"Transfer Learning for Cross-Project Change-Proneness Prediction in Object-Oriented Software Systems: A Feasibility Analysis","Kumar, Lov and Behera, Ranjan Kumar and Rath, Santanu and Sureka, Ashish",2017,"[""ACM""]",,"10.1145/3127360.3127368"
"An Empirical Investigation into Learning Bug-fixing Patches in the Wild via Neural Machine Translation","Tufano, Michele and Watson, Cody and Bavota, Gabriele and Di Penta, Massimiliano and White, Martin and Poshyvanyk, Denys",2018,"[""ACM"",""Engineering Village""]","Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering","10.1145/3238147.3240732"
"What if I Had No Smells?","Falessi, Davide and Russo, Barbara and Mullen, Kathleen",2017,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 11th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","10.1109/ESEM.2017.14"
"Profmig: A Framework for Flexible Migration of Program Profiles Across Software Versions","Shen, Xipeng and Ding, Yufei and Wu, Bo and Zhou, Mingzhou",2013,"[""IEEE"",""ACM""]","Proceedings of the 2013 IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","10.1109/CGO.2013.6494984"
"Mining Performance Regression Inducing Code Changes in Evolving Software","Luo, Qi and Poshyvanyk, Denys and Grechanik, Mark",2016,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 13th International Conference on Mining Software Repositories","10.1145/2901739.2901765"
"A Supervised Machine Learning Approach to Classify Host Roles on Line Using sFlow","Li, Bingdong and Gunes, Mehmet Hadi and Bebis, George and Springer, Jeff",2013,"[""ACM""]","Proceedings of the First Edition Workshop on High Performance and Programmable Networking","10.1145/2465839.2465847"
"API Code Recommendation Using Statistical Learning from Fine-grained Changes","Nguyen, Anh Tuan and Hilton, Michael and Codoban, Mihai and Nguyen, Hoan Anh and Mast, Lily and Rademacher, Eli and Nguyen, Tien N. and Dig, Danny",2016,"[""ACM""]","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","10.1145/2950290.2950333"
"Type-directed Diffing of Structured Data","Miraldo, Victor Cacciari and Dagand, Pierre-\'{E}variste and Swierstra, Wouter",2017,"[""ACM""]","Proceedings of the 2Nd ACM SIGPLAN International Workshop on Type-Driven Development","10.1145/3122975.3122976"
"GitcProc: A Tool for Processing and Classifying GitHub Commits","Casalnuovo, Casey and Suchak, Yagnik and Ray, Baishakhi and Rubio-Gonz\'{a}lez, Cindy",2017,"[""ACM""]","Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis","10.1145/3092703.3098230"
"COPE: Vision for a Change-oriented Programming Environment","Dig, Danny and Johnson, Ralph and Marinov, Darko and Bailey, Brian and Batory, Don",2016,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 38th International Conference on Software Engineering Companion","10.1145/2889160.2889208"
"Automatic Performance Testing Using Input-sensitive Profiling","Luo, Qi",2016,"[""ACM"",""Engineering Village""]","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","10.1145/2950290.2983975"
"Performance Search Engine Driven by Prior Knowledge of Optimization","Kim, Youngsung and \v{C}ern\'{y}, Pavol and Dennis, John",2015,"[""ACM"",""Engineering Village""]","Proceedings of the 2Nd ACM SIGPLAN International Workshop on Libraries, Languages, and Compilers for Array Programming","10.1145/2774959.2774963"
"Enhancing Visualizations in Pedagogical Debuggers by Leveraging on Code Analysis","Santos, Andr{\'e} L.",2018,"[""ACM""]","Proceedings of the 18th Koli Calling International Conference on Computing Education Research","10.1145/3279720.3279732"
"Version Aware LibreOffice Documents","Pandey, Meenu and Munson, Ethan V.",2013,"[""ACM""]","Proceedings of the 2013 ACM Symposium on Document Engineering","10.1145/2494266.2494269"
"Linking User Requests, Developer Responses and Code Changes: Android OS Case Study","Licorish, Sherlock A. and Zolduoarrati, Elijah and Stanger, Nigel",2018,"[""ACM""]","Proceedings of the 22Nd International Conference on Evaluation and Assessment in Software Engineering 2018","10.1145/3210459.3210467"
"The Use of Development History in Software Refactoring Using a Multi-objective Evolutionary Algorithm","Ouni, Ali and Kessentini, Marouane and Sahraoui, Houari and Hamdi, Mohamed Salah",2013,"[""ACM""]","Proceedings of the 15th Annual Conference on Genetic and Evolutionary Computation","10.1145/2463372.2463554"
"Panel: Future Directions of Block-based Programming","Brown, Neil C.C. and M\""{o}nig, Jens and Bau, Anthony and Weintrop, David",2016,"[""ACM""]","Proceedings of the 47th ACM Technical Symposium on Computing Science Education","10.1145/2839509.2844661"
"Recommending a Starting Point for a Programming Task: An Initial Investigation","Thompson, C. Albert and Murphy, Gail C.",2014,"[""ACM""]","Proceedings of the 4th International Workshop on Recommendation Systems for Software Engineering","10.1145/2593822.2593824"
"A Visual MapReduce Program Development Environment for Heterogeneous Computing on Clouds","Liang, Tyng-Yeu and Yeh, Li-Wei and Wu, Chi-Hong",2018,"[""ACM""]","Proceedings of the 2018 International Conference on Computing and Data Engineering","10.1145/3219788.3219800"
"Empirical Analysis of Performance Problems on Code Level","Reichelt, David Georg and K\""{u}hne, Stefan",2016,"[""ACM""]","Proceedings of the 7th ACM/SPEC on International Conference on Performance Engineering","10.1145/2851553.2892038"
"ChangeLocator: Locate Crash-inducing Changes Based on Crash Reports","Wu, Rongxin and Wen, Ming and Cheung, Shing-Chi and Zhang, Hongyu",2018,"[""ACM"",""Engineering Village""]","Proceedings of the 40th International Conference on Software Engineering","10.1145/3180155.3182516"
"Analyzing Conflict Predictors in Open-source Java Projects","Accioly, Paola and Borba, Paulo and Silva, L{\'e}uson and Cavalcanti, Guilherme",2018,"[""ACM""]","Proceedings of the 15th International Conference on Mining Software Repositories","10.1145/3196398.3196437"
"Identifying Bug-inducing Changes for Code Additions","Sahal, Emre and Tosun, Ayse",2018,"[""ACM""]","Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","10.1145/3239235.3267440"
"History-sensitive Heuristics for Recovery of Features in Code of Evolving Program Families","Nunes, Camila and Garcia, Alessandro and Lucena, Carlos and Lee, Jaejoon",2012,"[""ACM""]","Proceedings of the 16th International Software Product Line Conference - Volume 1","10.1145/2362536.2362556"
"Using Code Change Types in an Analogy-based Classifier for Short-term Defect Prediction","Tass{\'e}, Jos{\'e}e",2013,"[""ACM"",""Engineering Village""]","Proceedings of the 9th International Conference on Predictive Models in Software Engineering","10.1145/2499393.2499397"
"From Problem Landscapes to Language Landscapes: Questions in Genetic Improvement","Cody-Kenny, Brendan and Fenton, Michael and O'Neill, Michael",2017,"[""ACM"",""Engineering Village""]","Proceedings of the Genetic and Evolutionary Computation Conference Companion","10.1145/3067695.3082522"
"What Makes a Code Change Easier to Review: An Empirical Investigation on Code Change Reviewability","Ram, Achyudh and Sawant, Anand Ashok and Castelluccio, Marco and Bacchelli, Alberto",2018,"[""ACM"",""Engineering Village""]","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","10.1145/3236024.3236080"
"A Supervised Learning Model for Identifying Inactive VMs in Private Cloud Data Centers","Kim, In Kee and Zeng, Sai and Young, Christopher and Hwang, Jinho and Humphrey, Marty",2016,"[""ACM"",""Engineering Village""]","Proceedings of the Industrial Track of the 17th International Middleware Conference","10.1145/3007646.3007654"
"Investigating Static Analysis Errors in Student Java Programs","Edwards, Stephen H. and Kandru, Nischel and Rajagopal, Mukund B.M.",2017,"[""ACM"",""Engineering Village""]","Proceedings of the 2017 ACM Conference on International Computing Education Research","10.1145/3105726.3106182"
"Fast Transform Mode Decision for HEVC Screen Content Coding","Lee, Dokyung and Jeong, Jecheng",2017,"[""ACM""]","Proceedings of the International Conference on Video and Image Processing","10.1145/3177404.3177429"
"How Do Developers Resolve Merge Conflicts? An Investigation into the Processes, Tools, and Improvements","Brindescu, Caius",2018,"[""ACM"",""Engineering Village""]","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","10.1145/3236024.3275430"
"Addressing Scalability in API Method Call Analytics","Cergani, Ervina and Proksch, Sebastian and Nadi, Sarah and Mezini, Mira",2016,"[""ACM""]","Proceedings of the 2Nd International Workshop on Software Analytics","10.1145/2989238.2989240"
"Transform-data-by-example (TDE): An Extensible Search Engine for Data Transformations","He, Yeye and Chu, Xu and Ganjam, Kris and Zheng, Yudian and Narasayya, Vivek and Chaudhuri, Surajit",2018,"[""ACM""]",,"10.14778/3231751.3231766"
"How Preprocessor Annotations (Do Not) Affect Maintainability: A Case Study on Change-proneness","Fenske, Wolfram and Schulze, Sandro and Saake, Gunter",2017,"[""ACM"",""Engineering Village""]",,"10.1145/3170492.3136059"
"How Preprocessor Annotations (Do Not) Affect Maintainability: A Case Study on Change-proneness","Fenske, Wolfram and Schulze, Sandro and Saake, Gunter",2017,"[""ACM"",""Engineering Village""]","Proceedings of the 16th ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences","10.1145/3136040.3136059"
"Clone-Slicer: Detecting Domain Specific Binary Code Clones Through Program Slicing","Xue, Hongfa and Venkataramani, Guru and Lan, Tian",2018,"[""ACM""]","Proceedings of the 2018 Workshop on Forming an Ecosystem Around Software Transformation","10.1145/3273045.3273047"
"A Real-time Framework for Detecting Efficiency Regressions in a Globally Distributed Codebase","Valdez-Vivas, Martin and Gocmen, Caner and Korotkov, Andrii and Fang, Ethan and Goenka, Kapil and Chen, Sherry",2018,"[""ACM""]","Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery \&\#38; Data Mining","10.1145/3219819.3219858"
"Prediction and Ranking of Co-change Candidates for Clones","Mondal, Manishankar and Roy, Chanchal K. and Schneider, Kevin A.",2014,"[""ACM"",""Engineering Village""]","Proceedings of the 11th Working Conference on Mining Software Repositories","10.1145/2597073.2597104"
"Automatic Improvement of Apache Spark Queries Using Semantics-preserving Program Reduction","Kocsis, Zoltan A. and Drake, John H. and Carson, Douglas and Swan, Jerry",2016,"[""ACM""]","Proceedings of the 2016 on Genetic and Evolutionary Computation Conference Companion","10.1145/2908961.2931692"
"Coding Dojo As a Transforming Practice in Collaborative Learning of Programming: An Experience Report","da R. Rodrigues, Peterson Luiz and Franz, Luiz Paulo and Cheiran, Jean Felipe P. and da Silva, Jo\~{a}o Pablo S. and Bordin, Andr{\'e}a S.",2017,"[""ACM""]","Proceedings of the 31st Brazilian Symposium on Software Engineering","10.1145/3131151.3131180"
"A Method for Assessing Class Change Proneness","Arvanitou, Elvira-Maria and Ampatzoglou, Apostolos and Chatzigeorgiou, Alexander and Avgeriou, Paris",2017,"[""ACM"",""Engineering Village""]","Proceedings of the 21st International Conference on Evaluation and Assessment in Software Engineering","10.1145/3084226.3084239"
"Collaborative Creation and Versioning of Modeling Languages with MetaEdit+","Kelly, Steven and Tolvanen, Juha-Pekka",2018,"[""ACM""]","Proceedings of the 21st ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings","10.1145/3270112.3270132"
"Inferring Crypto API Rules from Code Changes","Paletov, Rumen and Tsankov, Petar and Raychev, Veselin and Vechev, Martin",2018,"[""ACM""]",,"10.1145/3296979.3192403"
"Inferring Crypto API Rules from Code Changes","Paletov, Rumen and Tsankov, Petar and Raychev, Veselin and Vechev, Martin",2018,"[""ACM""]","Proceedings of the 39th ACM SIGPLAN Conference on Programming Language Design and Implementation","10.1145/3192366.3192403"
"Discovering Maintainability Changes in Large Software Systems","Molnar, Arthur and Motogna, Simona",2017,"[""ACM""]","Proceedings of the 27th International Workshop on Software Measurement and 12th International Conference on Software Process and Product Measurement","10.1145/3143434.3143447"
"Improving Understanding of Dynamically Typed Software Developed by Agile Practitioners","Garc\'{\i}a, Jair and Garc{\'e}s, Kelly",2017,"[""ACM""]","Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering","10.1145/3106237.3117772"
"Preliminary Product Line Support in BitKeeper","McVoy, Larry",2015,"[""ACM""]","Proceedings of the 19th International Conference on Software Product Line","10.1145/2791060.2791110"
"Identifying HPC Codes via Performance Logs and Machine Learning","DeMasi, Orianna and Samak, Taghrid and Bailey, David H.",2013,"[""ACM""]","Proceedings of the First Workshop on Changing Landscapes in HPC Security","10.1145/2465808.2465812"
"Towards Model Checking of Computer Games with Java PathFinder","Shafiei, Nastaran and van Breugel, Franck",2013,"[""IEEE"",""ACM""]","Proceedings of the 3rd International Workshop on Games and Software Engineering: Engineering Computer Games to Enable Positive, Progressive Change",
"Process Mining Multiple Repositories for Software Defect Resolution from Control and Organizational Perspective","Gupta, Monika and Sureka, Ashish and Padmanabhuni, Srinivas",2014,"[""ACM"",""Engineering Village""]","Proceedings of the 11th Working Conference on Mining Software Repositories","10.1145/2597073.2597081"
"In-Situ Visualisation of Fractional Code Ownership over Time","M\""{u}ller, Christoph and Reina, Guido and Ertl, Thomas",2015,"[""ACM"",""Engineering Village""]","Proceedings of the 8th International Symposium on Visual Information Communication and Interaction","10.1145/2801040.2801055"
"Graph-based Approach for Detecting Impure Refactoring from Version Commits","Tsutsumi, Shogo and Choi, Eunjong and Yoshida, Norihiro and Inoue, Katsuro",2016,"[""ACM""]","Proceedings of the 1st International Workshop on Software Refactoring","10.1145/2975945.2975949"
"Reinforcement Learning for Automatic Test Case Prioritization and Selection in Continuous Integration","Spieker, Helge and Gotlieb, Arnaud and Marijan, Dusica and Mossige, Morten",2017,"[""ACM""]","Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis","10.1145/3092703.3092709"
"Transform-Data-by-Example (TDE): Extensible Data Transformation in Excel","He, Yeye and Ganjam, Kris and Lee, Kukjin and Wang, Yue and Narasayya, Vivek and Chaudhuri, Surajit and Chu, Xu and Zheng, Yudian",2018,"[""ACM"",""Engineering Village""]","Proceedings of the 2018 International Conference on Management of Data","10.1145/3183713.3193539"
"Optimistic Loop Optimization","Doerfert, Johannes and Grosser, Tobias and Hack, Sebastian",2017,"[""ACM""]","Proceedings of the 2017 International Symposium on Code Generation and Optimization",
"Codemotion: Expanding the Design Space of Learner Interactions with Computer Programming Tutorial Videos","Khandwala, Kandarp and Guo, Philip J.",2018,"[""ACM""]","Proceedings of the Fifth Annual ACM Conference on Learning at Scale","10.1145/3231644.3231652"
"Modern Version Control: Creating an Efficient Development Ecosystem","Bertino, Nic",2012,"[""ACM"",""Engineering Village""]","Proceedings of the 40th Annual ACM SIGUCCS Conference on User Services","10.1145/2382456.2382510"
"Multimodal Analysis of Client Behavioral Change Coding in Motivational Interviewing","Aswamenakul, Chanuwas and Liu, Lixing and Carey, Kate B. and Woolley, Joshua and Scherer, Stefan and Borsari, Brian",2018,"[""ACM""]","Proceedings of the 20th ACM International Conference on Multimodal Interaction","10.1145/3242969.3242990"
"Assessing the Threat of Untracked Changes in Software Evolution","Hora, Andre and Silva, Danilo and Valente, Marco Tulio and Robbes, Romain",2018,"[""ACM""]","Proceedings of the 40th International Conference on Software Engineering","10.1145/3180155.3180212"
"A Scalable and Efficient Approach for Compiling and Analyzing Commit History","Behnamghader, Pooyan and Meemeng, Patavee and Fostiropoulos, Iordanis and Huang, Di and Srisopha, Kamonphop and Boehm, Barry",2018,"[""ACM""]","Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","10.1145/3239235.3239237"
"Integration of Existing Software Artifacts into a View- and Change-Driven Development Approach","Leonhardt, Sven and Hettwer, Benjamin and Hoor, Johannes and Langhammer, Michael",2015,"[""ACM""]","Proceedings of the 2015 Joint MORSE/VAO Workshop on Model-Driven Robot Software Engineering and View-based Software-Engineering","10.1145/2802059.2802061"
"How Does Regression Test Prioritization Perform in Real-world Software Evolution?","Lu, Yafeng and Lou, Yiling and Cheng, Shiyang and Zhang, Lingming and Hao, Dan and Zhou, Yangfan and Zhang, Lu",2016,"[""ACM""]","Proceedings of the 38th International Conference on Software Engineering","10.1145/2884781.2884874"
"Reducing Human Effort and Improving Quality in Peer Code Reviews Using Automatic Static Analysis and Reviewer Recommendation","Balachandran, Vipin",2013,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 2013 International Conference on Software Engineering",
"Why Did This Code Change?","Rastkar, Sarah and Murphy, Gail C.",2013,"[""ACM""]","Proceedings of the 2013 International Conference on Software Engineering",
"Supporting Continuous Integration by Code-churn Based Test Selection","Knauss, Eric and Staron, Miroslaw and Meding, Wilhelm and S\""{o}der, Ola and Nilsson, Agneta and Castell, Magnus",2015,"[""ACM""]","Proceedings of the Second International Workshop on Rapid Continuous Software Engineering",
"A Game-based Learning Approach to Road Safety: The Code of Everand","Dunwell, Ian and de Freitas, Sara and Petridis, Panagiotis and Hendrix, Maurice and Arnab, Sylvester and Lameras, Petros and Stewart, Craig",2014,"[""ACM"",""Engineering Village""]","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","10.1145/2556288.2557281"
"A Game-based Learning Approach to Road Safety: The Code of Everand","Dunwell, Ian and de Freitas, Sara and Petridis, Panagiotis and Hendrix, Maurice and Arnab, Sylvester and Lameras, Petros and Stewart, Craig",2014,"[""ACM"",""Engineering Village""]","Proceedings of the 32Nd Annual ACM Conference on Human Factors in Computing Systems","10.1145/2556288.2557281"
"Revisiting Context-based Code Smells Prioritization: On Supporting Referred Context","Sae-Lim, Natthawute and Hayashi, Shinpei and Saeki, Motoshi",2017,"[""ACM"",""Engineering Village""]","Proceedings of the XP2017 Scientific Workshops","10.1145/3120459.3120463"
"Demo","Holtz, Jarrett and Guha, Arjun and Biswas, Joydeep",2018,"[""ACM""]","Proceedings of the 17th International Conference on Autonomous Agents and MultiAgent Systems",
"How the Evolution of Emerging Collaborations Relates to Code Changes: An Empirical Study","Panichella, Sebastiano and Canfora, Gerardo and Di Penta, Massimiliano and Oliveto, Rocco",2014,"[""ACM"",""Engineering Village""]","Proceedings of the 22Nd International Conference on Program Comprehension","10.1145/2597008.2597145"
"Structural and Visual Comparisons for Web Page Archiving","Law, Marc Teva and Thome, Nicolas and Gan\c{c}arski, St{\'e}phane and Cord, Matthieu",2012,"[""ACM""]","Proceedings of the 2012 ACM Symposium on Document Engineering","10.1145/2361354.2361380"
"Language Model Rest Costs and Space-efficient Storage","Heafield, Kenneth and Koehn, Philipp and Lavie, Alon",2012,"[""ACM"",""Engineering Village""]","Proceedings of the 2012 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning",
"A Code Morphing Methodology to Automate Power Analysis Countermeasures","Agosta, Giovanni and Barenghi, Alessandro and Pelosi, Gerardo",2012,"[""ACM""]","Proceedings of the 49th Annual Design Automation Conference","10.1145/2228360.2228376"
"Personalized Defect Prediction","Jiang, Tian and Tan, Lin and Kim, Sunghun",2013,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering","10.1109/ASE.2013.6693087"
"Modular Capture Avoidance for Program Transformations","Ritschel, Nico and Erdweg, Sebastian",2015,"[""ACM""]","Proceedings of the 2015 ACM SIGPLAN International Conference on Software Language Engineering","10.1145/2814251.2814260"
"Version Control Graphical Interface for Open OnDemand","Chen, Huan and Fietkiewicz, Chris",2018,"[""ACM""]","Proceedings of the Practice and Experience on Advanced Research Computing","10.1145/3219104.3229268"
"Querying Sequential Software Engineering Data","Sun, Chengnian and Zhang, Haidong and Lou, Jian-Guang and Zhang, Hongyu and Wang, Qiang and Zhang, Dongmei and Khoo, Siau-Cheng",2014,"[""ACM"",""Engineering Village""]","Proceedings of the 22Nd ACM SIGSOFT International Symposium on Foundations of Software Engineering","10.1145/2635868.2635902"
"Barriers Faced by Coding Bootcamp Students","Thayer, Kyle and Ko, Andrew J.",2017,"[""ACM""]","Proceedings of the 2017 ACM Conference on International Computing Education Research","10.1145/3105726.3106176"
"Variable Provenance in Software Systems","Chittimalli, Pavan Kumar and Naik, Ravindra",2014,"[""ACM"",""Engineering Village""]","Proceedings of the 4th International Workshop on Recommendation Systems for Software Engineering","10.1145/2593822.2593826"
"Transforming Programs and Tests in Tandem for Fault Localization","Li, Xia and Zhang, Lingming",2017,"[""ACM"",""Engineering Village""]",,"10.1145/3133916"
